10000 10000
6991 1202 0
8920 7460 1
9542 169 0
5321 7361 1
5888 9178 0
5017 5055 1
390 6142 0
684 4112 1
8017 2179 0
1547 7632 1
2946 1239 0
2155 3099 1
7112 5947 0
2818 4551 1
3789 1690 0
7244 5659 1
3977 3484 0
8473 6811 1
1042 790 0
8835 3770 1
8456 5137 0
5423 3326 1
5993 3985 0
1995 1914 1
7154 2964 0
5054 8308 1
3938 9865 0
6803 8323 1
4200 447 0
4833 2811 1
8790 3618 0
6761 8903 1
7831 8710 0
818 2533 1
2119 832 0
6205 682 1
1552 2678 0
5735 798 1
6394 6260 0
7259 4741 1
831 2062 0
7233 7973 1
8482 3499 0
3636 8487 1
6182 9220 0
6556 3673 1
6013 4943 0
3120 6417 1
3975 9948 0
8472 1603 1
4397 4611 0
3951 9103 1
1094 5762 0
4836 7742 1
3913 9583 0
9890 4489 1
5716 5003 0
640 2048 1
1257 5401 0
7718 5208 1
7650 5039 0
4838 3963 1
5363 5583 0
3561 8530 1
4016 2135 0
9405 9796 1
7552 2508 0
6695 5710 1
3401 5947 0
2528 5491 1
8810 761 0
2923 9315 1
56 9124 0
1879 7771 1
4620 1435 0
4600 9500 1
1009 7347 0
7439 9230 1
2488 5965 0
5495 9074 1
4908 4559 0
8461 8711 1
3190 6686 0
9128 5743 1
7835 6534 0
2113 6355 1
8009 9920 0
9908 9681 1
5540 8416 0
7042 6956 1
3897 9929 0
9872 1991 1
1461 6531 0
4726 6646 1
3151 7134 0
6110 8211 1
7842 3415 0
7685 4327 1
5252 2038 0
6978 223 1
6223 4973 0
1620 3746 1
7444 9837 0
3598 4926 1
3058 4980 0
2397 1606 1
4036 1816 0
3453 2124 1
6663 1868 0
6622 4511 1
8921 7429 0
8811 5820 1
1447 3795 0
8656 4999 1
3972 2388 0
8051 4334 1
3260 4740 0
3245 4177 1
5759 7087 0
8291 23 1
7897 1697 0
7365 531 1
9230 2182 0
9575 662 1
1540 1141 0
6513 5826 1
639 6240 0
3972 2104 1
8256 5900 0
6529 3457 1
