10000 10000
7931 856 0
2087 4974 1
2433 8969 0
8207 4905 1
7992 6902 0
2834 4744 1
5015 731 0
9750 5731 1
8727 4929 0
5145 5321 1
6422 5863 0
3839 5790 1
637 6341 0
928 6115 1
7675 5064 0
9781 7727 1
3207 8422 0
3939 4913 1
1912 7118 0
6830 836 1
961 4590 0
5288 172 1
5609 7082 0
4737 9540 1
6904 1758 0
6324 5695 1
3342 5046 0
3302 333 1
3839 3618 0
5683 6322 1
8162 508 0
786 2793 1
3717 5547 0
9353 2950 1
3980 8954 0
1505 3462 1
3159 2641 0
8298 7046 1
8902 267 0
4199 950 1
9956 4041 0
2147 5767 1
4702 9675 0
7282 9514 1
8661 563 0
3976 3960 1
4741 3795 0
9960 3509 1
4291 5016 0
7101 2691 1
64 1722 0
6742 4615 1
2402 4061 0
9126 4115 1
8520 4999 0
4086 2392 1
6097 3574 0
6788 7618 1
7739 1514 0
3033 6820 1
7675 8126 0
1863 8024 1
8656 526 0
6351 9822 1
8744 6532 0
5289 5010 1
2738 63 0
2789 1515 1
6519 5327 0
4271 373 1
7559 1 0
3744 1657 1
4668 2417 0
5568 6858 1
2238 3035 0
6548 4054 1
4741 4041 0
4535 580 1
7019 1597 0
4189 4580 1
2607 9949 0
847 6951 1
2920 2667 0
7251 1537 1
1537 6066 0
5345 8588 1
3173 8422 0
117 1340 1
6164 3224 0
532 8419 1
7556 2931 0
3397 714 1
2268 2507 0
9601 7556 1
2445 6152 0
5412 747 1
7585 9852 0
6040 3910 1
4256 1118 0
6813 1145 1
1764 8592 0
8709 3963 1
5492 8018 0
3321 1630 1
887 7415 0
1560 6278 1
9188 1001 0
8752 2588 1
5556 267 0
9291 1619 1
6198 9069 0
6458 6661 1
7869 985 0
4397 8078 1
2253 7981 0
672 9467 1
5482 7677 0
605 6582 1
7006 6341 0
1208 4568 1
992 180 0
9858 8754 1
3053 8062 0
6183 4947 1
7154 5858 0
5777 3217 1
4684 4624 0
2223 5783 1
4135 3477 0
4368 1951 1
1114 5687 0
5814 680 1
1742 4471 0
7766 3612 1
5503 5678 0
8970 4244 1
16 8288 0
9714 7784 1
8240 4726 0
3237 4691 1
5092 9884 0
2503 9126 1
132 196 0
6106 5944 1
224 5745 0
401 1120 1
5257 4665 0
5428 3714 1
1939 6995 0
6589 4446 1
2247 2099 0
344 4330 1
807 4123 0
8760 3412 1
4867 9784 0
7776 1120 1
4783 9902 0
8419 740 1
4900 7189 0
4778 3700 1
3612 968 0
6604 7649 1
2624 8065 0
164 6807 1
6177 6648 0
7693 6762 1
6149 7981 0
1661 6192 1
6925 6356 0
3161 2335 1
7304 2722 0
2008 498 1
9681 5168 0
4296 6861 1
8777 510 0
1966 3563 1
3241 7309 0
6335 6646 1
8597 6111 0
8392 703 1
1902 1265 0
2666 95 1
1982 1873 0
2609 5788 1
2067 5978 0
7759 5503 1
4768 8407 0
6758 669 1
401 8297 0
8933 7081 1
7225 8433 0
8263 1344 1
4906 1407 0
5421 762 1
6760 1038 0
125 1297 1
38 2361 0
2704 5826 1
2648 8234 0
4935 5322 1
8967 6709 0
8458 9860 1
2861 6913 0
2592 155 1
2502 6384 0
7701 5654 1
9720 5196 0
8937 5939 1
2852 1316 0
