10000 10000
9029 1855 0
1226 2857 1
4751 5245 0
5236 3053 1
5883 7370 0
7375 6480 1
359 1832 0
1533 3969 1
2183 4169 0
9498 5397 1
4431 4289 0
1432 8929 1
4057 2652 0
5901 6345 1
5537 9535 0
6589 8382 1
5287 9714 0
2860 3848 1
3788 4801 0
9636 7789 1
3702 61 0
6861 8470 1
6952 9157 0
7335 1894 1
1110 7035 0
2921 7258 1
5704 6956 0
2997 9747 1
4653 6704 0
4529 7236 1
5743 9737 0
4030 799 1
8405 497 0
5524 3231 1
1363 8681 0
6690 9513 1
8717 5527 0
3816 9778 1
8528 6874 0
5703 8270 1
69 4102 0
5731 6056 1
5277 4199 0
6925 5523 1
1179 3565 0
9316 2188 1
6726 6061 0
4257 8829 1
9259 3511 0
5274 4958 1
4717 8999 0
3083 6781 1
9498 5488 0
7175 7560 1
5233 941 0
626 4142 1
5453 298 0
8796 8067 1
4444 7095 0
6231 4091 1
1179 6234 0
1682 2100 1
7680 3749 0
1231 2077 1
6698 5659 0
6174 3520 1
583 8743 0
1526 931 1
6551 9344 0
3556 4234 1
746 6711 0
5930 8076 1
4179 6466 0
3793 1213 1
8175 7414 0
5697 4646 1
7312 1438 0
2767 7254 1
6385 302 0
6984 3306 1
9392 2555 0
914 2701 1
6227 7611 0
3974 1811 1
3754 8941 0
2853 6860 1
4927 1709 0
8308 4585 1
3998 295 0
8395 9182 1
8939 8673 0
1270 2288 1
4436 7832 0
8993 9245 1
5211 3895 0
2640 1808 1
6357 8626 0
4414 5470 1
9201 6118 0
2687 1736 1
1542 7031 0
6713 2596 1
3381 7098 0
8463 2529 1
4162 7676 0
9939 4901 1
9654 7551 0
8884 1759 1
1974 4635 0
760 7639 1
5593 465 0
4697 7185 1
6678 2261 0
7233 4185 1
8427 4236 0
380 243 1
6470 3058 0
7465 7251 1
4529 1457 0
3247 3111 1
4067 2394 0
4317 1055 1
5127 4733 0
84 2759 1
4024 7200 0
9147 5439 1
6826 6672 0
6005 6153 1
2966 6520 0
5553 5798 1
9303 9000 0
9572 1948 1
1125 7462 0
6213 3216 1
9208 7065 0
3831 5379 1
9349 6447 0
8463 3759 1
131 1564 0
2201 4944 1
7184 5970 0
5808 5624 1
7346 3503 0
5334 4424 1
6647 4443 0
1890 1746 1
8353 3020 0
5629 3563 1
3855 7228 0
9049 7810 1
2687 7041 0
3542 813 1
6027 6940 0
3351 2266 1
7897 5488 0
3954 5183 1
942 8810 0
6422 4294 1
6011 5603 0
4018 4569 1
4417 3290 0
4486 1902 1
2956 6095 0
1037 640 1
8507 3834 0
9898 6114 1
3823 3075 0
7492 3933 1
7468 1824 0
1101 3734 1
380 9936 0
1180 1996 1
6305 9427 0
8929 9360 1
1389 5970 0
2934 6363 1
608 9151 0
4546 5033 1
2617 1498 0
9520 7718 1
413 4785 0
3941 2338 1
3080 5340 0
8103 890 1
7599 7749 0
6400 9383 1
5715 1192 0
3839 9278 1
9688 3118 0
790 6825 1
9579 2514 0
3722 6334 1
8816 688 0
4521 7762 1
6799 7981 0
8352 5872 1
7792 2514 0
2022 4906 1
8975 4801 0
8958 7532 1
8698 7853 0
7202 2225 1
3793 3327 0
5539 3933 1
5122 5719 0
8657 5287 1
8974 6672 0
1290 6887 1
3400 8343 0
7161 7351 1
8975 6662 0
8097 6919 1
9149 4513 0
5404 4397 1
6388 2512 0
9275 803 1
2128 7517 0
9373 8931 1
3818 9006 0
3817 6678 1
4567 4721 0
101 4743 1
1028 4544 0
9628 9947 1
3195 1672 0
8107 9494 1
4483 1870 0
3084 6748 1
8369 4655 0
3157 6630 1
7432 8920 0
3492 5999 1
8420 677 0
4176 376 1
105 8578 0
7747 484 1
7130 6618 0
842 9976 1
8975 8755 0
6952 121 1
6223 8080 0
4751 5027 1
6950 6907 0
5933 1987 1
6738 5793 0
2115 4372 1
6312 4140 0
3082 8270 1
3990 944 0
5786 201 1
5732 2373 0
2289 4246 1
4142 2157 0
3689 959 1
3424 9927 0
7934 1956 1
4396 2430 0
1226 1592 1
8243 3952 0
3601 786 1
3082 40 0
3194 7117 1
1226 5758 0
4249 7071 1
4748 9417 0
1352 4634 1
6170 5345 0
9603 4622 1
3439 9026 0
4051 6102 1
2317 9632 0
3520 8607 1
1357 4551 0
8754 6498 1
1956 2072 0
7213 2843 1
4308 3780 0
4802 9217 1
5817 6563 0
3653 1195 1
4009 7854 0
1510 3921 1
7562 3546 0
7979 1819 1
4564 7579 0
288 6875 1
2611 6898 0
3110 8514 1
5382 6360 0
9678 6911 1
7443 354 0
720 1968 1
5071 5558 0
6120 5395 1
1052 9274 0
5341 9622 1
5186 6907 0
8786 4246 1
8969 3564 0
50 3677 1
6451 2778 0
8754 7645 1
4414 4711 0
6229 5998 1
5180 3099 0
953 9100 1
7332 9743 0
2145 8271 1
8907 9505 0
2125 2661 1
2611 3515 0
9259 7244 1
377 503 0
1085 8540 1
5595 252 0
1812 7610 1
1535 3367 0
6836 4348 1
8285 1455 0
6811 111 1
7465 5386 0
9807 3247 1
9009 6047 0
4674 7198 1
5966 1942 0
8660 7096 1
7877 7518 0
331 9534 1
8604 6676 0
8481 8161 1
2697 7103 0
4396 2047 1
7939 1278 0
4927 3810 1
4529 1020 0
5526 2451 1
7870 1607 0
7714 3979 1
3441 4015 0
9928 9863 1
3972 5677 0
8066 6066 1
2768 4226 0
6598 2214 1
1599 4728 0
2010 2516 1
1370 3046 0
542 2961 1
3060 703 0
6527 2529 1
8728 7936 0
3597 861 1
9108 9546 0
9149 4665 1
9294 281 0
2310 4091 1
9488 3162 0
2747 9568 1
2287 199 0
7855 351 1
4177 7284 0
4461 819 1
7994 2537 0
2107 561 1
8287 7360 0
9382 19 1
5159 2832 0
2613 5405 1
7634 5146 0
356 5354 1
7044 3730 0
576 5964 1
2151 4120 0
7135 6426 1
6405 9792 0
428 3619 1
2950 3343 0
2637 2277 1
722 3905 0
3931 8285 1
5479 6080 0
39 1739 1
9558 9952 0
3889 8580 1
1134 6251 0
3764 2545 1
8715 5879 0
5076 4846 1
8973 6225 0
65 4277 1
6092 2870 0
6011 5239 1
4605 4733 0
8450 4895 1
2161 6110 0
1990 9497 1
1729 9966 0
8318 8525 1
7380 6273 0
9099 7198 1
3356 8729 0
8655 9385 1
2022 937 0
173 180 1
1353 1691 0
184 8495 1
823 2668 0
9063 8715 1
6783 9668 0
3366 782 1
6635 4603 0
3023 8349 1
6342 928 0
2162 3453 1
4775 1487 0
2564 4481 1
7628 4513 0
3662 5559 1
3974 6730 0
9608 318 1
1599 4015 0
6043 6541 1
1022 6662 0
4482 1677 1
3752 4381 0
5296 6162 1
2831 1761 0
6937 6072 1
380 5716 0
344 3213 1
4743 7727 0
9831 9154 1
3426 917 0
6820 5679 1
3939 8995 0
5123 4471 1
4172 7805 0
3798 8443 1
6214 4015 0
1240 5299 1
74 2245 0
2435 4674 1
247 6618 0
4180 3002 1
4264 5417 0
4910 1929 1
7862 3444 0
1520 8340 1
8330 7784 0
5959 3591 1
1220 2862 0
3272 7344 1
143 3102 0
356 454 1
2984 1481 0
3605 3688 1
4769 9820 0
2905 2855 1
3751 1207 0
7756 7083 1
7767 284 0
176 9009 1
734 575 0
7471 1682 1
5516 5990 0
4127 6788 1
382 3538 0
6852 2424 1
9958 6025 0
5465 3623 1
6853 5873 0
280 7577 1
1571 6217 0
6725 7443 1
8124 8182 0
8008 9446 1
4460 2326 0
2217 9855 1
2339 3898 0
1009 4515 1
1557 7571 0
3081 8081 1
